id,title,model_year,cost,url,category,sub_category
480547,Pardus Rockcrusher Pro,1499 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/480547/pardus-rockcrusher-pro.html,horske-bicykle,pevne-a-hardtail
476794,"Kona Mahuna 29"" 2021 M - Novy",949 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/476794/kona-mahuna-29-2021-m-novy.html,horske-bicykle,pevne-a-hardtail
485122,Trek 4700,370 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/485122/trek-4700.html,horske-bicykle,pevne-a-hardtail
470250,Giant XTC SLR 2 2021,1150 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/470250/giant-xtc-slr-2-2021.html,horske-bicykle,pevne-a-hardtail
485040,Kellys spider 50,490 €,2020,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/485040/kellys-spider-50.html,horske-bicykle,pevne-a-hardtail
480014,Vyskladaný hardtail,390 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/480014/vyskladany-hardtail-.html,horske-bicykle,pevne-a-hardtail
466657,Dema Rebell 29 veľkosť S,2100 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/466657/dema-rebell-29-velkost-s-.html,horske-bicykle,pevne-a-hardtail
484926,Predám Kenzel shade,300 €,2018,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/484926/predam-kenzel-shade-.html,horske-bicykle,pevne-a-hardtail
484900,Kellys Gibon 2020,1290 €,2020,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/484900/kellys-gibon-2020.html,horske-bicykle,pevne-a-hardtail
484895,Ctm raptor 2.0 2018,599 €,2018,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/484895/ctm-raptor-20-2018.html,horske-bicykle,pevne-a-hardtail
484780,GT Aggressor 3.0 2015,549 €,2015,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/484780/gt-aggressor-30-2015-.html,horske-bicykle,pevne-a-hardtail
484761,Hardtail,400 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/484761/hardtail.html,horske-bicykle,pevne-a-hardtail
484755,Ghost Nirvana tour SF base red 2021,870 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/484755/ghost-nirvana-tour-sf-base-red-2021.html,horske-bicykle,pevne-a-hardtail
484753,CTM Charisma 5.0 2021,460 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/484753/ctm-charisma-50-2021.html,horske-bicykle,pevne-a-hardtail
483111,"Predám bicykel GT Avalanche 27,5""",600 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/483111/predam-bicykel-gt-avalanche-275.html,horske-bicykle,pevne-a-hardtail
484703,"Trek 3500 3 series (rám: 13″, koleso: 26″)",200 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/484703/trek-3500-3-series-ram-13-koleso-26.html,horske-bicykle,pevne-a-hardtail
484646,Merida Big.nine 200 L,939 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/484646/merida-bignine-200-l.html,horske-bicykle,pevne-a-hardtail
335729,Predam Felt Cruncher 24 FAT Bike,330 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/335729/predam-felt-cruncher-24-fat-bike-.html,horske-bicykle,pevne-a-hardtail
484579,Predám CTM free Ride,650 €,2020,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/484579/predam-ctm-free-ride.html,horske-bicykle,pevne-a-hardtail
473487,Focus Black Forest 29r 3.0,550 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/473487/focus-black-forest-29r-30.html,horske-bicykle,pevne-a-hardtail
484220,Scott Scale 2020 XL Sram XX1 AXS 10-52,3400 €,2020,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/484220/scott-scale-2020-xl-sram-xx1-axs-10-52.html,horske-bicykle,pevne-a-hardtail
484171,Predám bicykel Specialized 29 veľkosť M,365 €,2015,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/484171/predam-bicykel-specialized-29-velkost-m.html,horske-bicykle,pevne-a-hardtail
483495,Giant Xtc Advanced 29 3 Carbon/balsam Green 2021,2100 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/483495/giant-xtc-advanced-29-3-carbon-balsam-green-2021.html,horske-bicykle,pevne-a-hardtail
468236,Cube Reaktion Gtc Pro 29 2017 Carbon,1350 €,2017,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/468236/cube-reaktion-gtc-pro-29-2017-carbon.html,horske-bicykle,pevne-a-hardtail
472413,UMF Hardy 4,150 €,2010,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/472413/umf-hardy-4-.html,horske-bicykle,pevne-a-hardtail
479116,Dartmoor primal 2016,500 €,2016,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/479116/dartmoor-primal-2016.html,horske-bicykle,pevne-a-hardtail
484056,Starý horský bicykel,20 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/484056/stary-horsky-bicykel.html,horske-bicykle,pevne-a-hardtail
484012,Horsky bicykel,300 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/484012/horsky-bicykel.html,horske-bicykle,pevne-a-hardtail
469695,Kellys,70 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/469695/kellys.html,horske-bicykle,pevne-a-hardtail
479981,Specialized Pitch Competition “L”,449 €,2016,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/479981/specialized-pitch-competition-l.html,horske-bicykle,pevne-a-hardtail
479987,"Focus Whistler 27,5 veľkosť “S”",500 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/479987/focus-whistler-275-velkost-s.html,horske-bicykle,pevne-a-hardtail
483821,Scott Scale 970 2021,950 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/483821/scott-scale-970-2021.html,horske-bicykle,pevne-a-hardtail
469575,CTM Raptor Pro 2009,360 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/469575/ctm-raptor-pro-2009.html,horske-bicykle,pevne-a-hardtail
483790,Cube Analog 2019,365 €,2019,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/483790/cube-analog-2019.html,horske-bicykle,pevne-a-hardtail
483637,Predám kolobežku Kostka Street Fun Kid,65 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/483637/predam-kolobezku-kostka-street-fun-kid.html,horske-bicykle,pevne-a-hardtail
483601,Canyon Pathlite WMN 4.0,700 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/483601/canyon-pathlite-wmn-40.html,horske-bicykle,pevne-a-hardtail
483592,"Predám Haibike Greed HardNine 4.0 22-Sp XT 55""",1700 €,2017,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/483592/predam-haibike-greed-hardnine-40-22-sp-xt-55.html,horske-bicykle,pevne-a-hardtail
471566,Predám bike zn. Fuji,1100 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/471566/predam-bike-zn-fuji-.html,horske-bicykle,pevne-a-hardtail
